schemaname,tablename,policyname,qual,with_check
public,vb_gram,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,pension_allowance,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,widow_allowance,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,handicapped_allowance,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,bank_accounts,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,tribal_card,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,merged_govt_schemes,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,pm_kisan_nidhi,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,ration_card,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
public,pm_kisan_samman_nidhi,Users access own data,"(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))","(EXISTS ( SELECT 1
   FROM family_survey_sessions f
  WHERE ((f.phone_number = f.phone_number) AND (f.surveyor_email = (auth.jwt() ->> 'email'::text)))))"
